universityName,cityName,countryName
SASTRA Deemed University,Thanjavur,India
University of Abomey-Calavi,Cotonou,Benin
Beijing Normal University,Beijing,China
Scientific Research Center of Medical Biophysics,Sofia,Bulgaria
"China University of Mining &amp; Technology, Beijing",Beijing,China
Thailand National Nanotechnology Center,Pathum Thani,Thailand
Universiti Sultan Zainal Abidin,Kuala Terengganu,Malaysia
National Research Centre,Giza,Egypt
University of Mosul,Mosul,Iraq
University of Alberta,Edmonton,Canada
"Beijing Tongren Hospital, Capital Medical University",Beijing,China
Chinese Academy of Sciences,Beijing,China
Guangdong Medical University,Zhanjiang,China
Weinan Normal University,Weinan,China
Uniklinik RWTH Aachen,Aachen,Germany
Faculty of Medicine sousse,Sousse,Tunisia
UC Davis School of Medicine,Sacramento,United States
National Institute for Medical Research Tanga,Tanga,Tanzania
University of Melbourne,Melbourne,Australia
Dalhousie University,Halifax,Canada
The University of Hong Kong Li Ka Shing Faculty of Medicine,Hong Kong,Hong Kong
Syddansk Universitet,Odense,Denmark
University of Khartoum Faculty of Medicine,Khartoum,Sudan
Peking University Third Hospital,Beijing,China
Southern Medical University,Guangzhou,China
"University at Buffalo, The State University of New York",Buffalo,United States
"All India Institute of Medical Sciences, Patna",Patna,India
Yenepoya Research Centre,Mangalore,India
HJF,Rockville,United States
Universidade Federal de Ouro Preto,Ouro Preto,Brazil
Guangxi Traditional Chinese Medical University,Nanning,China
Zunyi Medical University,Zunyi,China
Shanghai Putuo District Liqun Hospital,Shanghai,China
"Università Cattolica del Sacro Cuore, Campus di Roma",Rome,Italy
Aja University of Medical Sciences,Tehran,Iran
Indus Hospital &amp; Health Network,Karachi,Pakistan
Indus Hospital &amp; Health Network,Karachi,Pakistan
Sindh Institute of Animal Health,Karachi,Pakistan
Indus Hospital &amp; Health Network,Karachi,Pakistan
Indus Hospital &amp; Health Network,Karachi,Pakistan
Indus Hospital &amp; Health Network,Karachi,Pakistan
Indus Hospital &amp; Health Network,Karachi,Pakistan
Indus Hospital &amp; Health Network,Karachi,Pakistan
Qilu Hospital of Shandong University,Jinan,China
China-Japan Friendship Hospital,Beijing,China
Uniwersytet Medyczny w Bialymstoku,Bialystok,Poland
China Pharmaceutical University,Nanjing,China
Debre Berhan compressive specialized Hospital Amhara Region,Debre Berhan,Ethiopia
Faculty of Veterinary Medicine,Mansoura,Egypt
People's Hospital of Xinjiang Uygur Autonomous Region,Urumqi,China
Gannan Medical College,Ganzhou,China
Faculty of Veterinary Medicine,Giza,Egypt
University Hospital of Southern Denmark,Vejle,Denmark
Faculty of Medicine,Cairo,Egypt
Faculty of Veterinary Medicine,Giza,Egypt
Japanese Society for Dialysis Therapy,Tokyo,Japan
School of Medicine and Public Health,Callaghan,Australia
Karachi Institute of Heart Diseases,Karachi,Pakistan
Universidad de Antioquia,Medellin,Colombia
Zhejiang University School of Medicine,Hangzhou,China
National Institute of Standards and Technology,Gaithersburg,United States
"HIV/STI Surveillance Research Center, and WHO Collaborating Center for HIV Surveillance, Institute for Futures Studies in Health, Kerman University of Medical Sciences",Kerman,Iran
Zhengzhou University,Zhengzhou,China
Pusan National University Hospital,Busan,South Korea
Xi'an Jiaotong University,Xi'an,China
Delta State University Nigeria,Abraka,Nigeria
University of Illinois at Chicago,Chicago,United States
Changzheng Hospital,Shanghai,China
University of Exeter,Exeter,United Kingdom
Universitas Sumatera Utara,Medan,Indonesia
Huanghuai University,Zhumadian,China
Gansu University of Chinese Medicine,Lanzhou,China
School of Medicine,Tehran,Iran
Universidade Federal de Sao Joao del-Rei,Sao Joao del Rei,Brazil
University Teaching Hospital of Lomé,Lome,Togo
University of New Mexico School of Engineering,Albuquerque,United States
Hiroshima University Graduate School of Biomedical and Health Sciences,Hiroshima,Japan
Adidas AG,Herzogenaurach,Germany
IRCCS Regina Elena National Cancer Institute,Rome,Italy
Shanxi Medical University,Taiyuan,China
Wonkwang University,Iksan,South Korea
Universidade Federal de São Paulo,Sao Paulo,Brazil
University of Oxford Medical Sciences Division,Oxford,United Kingdom
Meir Medical Center,Kfar Saba,Israel
Université Libre de Bruxelles,Brussels,Belgium
Opole University of Technology,Opole,Poland
Alanya Alaaddin Keykubat University,Alanya,Turkey
Vellore Institute of Technology,Vellore,India
Nantong University,Nantong,China
West China School of Medicine/West China Hospital of Sichuan University,Chengdu,China
Office of Professional Worklife,Minneapolis,United States
Technological University Dublin,Dublin,Ireland
IUMS Immunology Research Center,Tehran,Iran
Swedish University of Agricultural Sciences Faculty of Veterinary Medicine and Animal Science,Uppsala,Sweden
Chengdu University of Traditional Chinese Medicine,Chengdu,China
Thomas Jefferson University,Philadelphia,United States
Medical College of Soochow University,Suzhou,China
Norges Teknisk-Naturvitenskapelige Universitet,Trondheim,Norway
Sichuan Agricultural University,Ya'an,China
